recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-07-11 Do. 07:00 ,2019-07-01342,49.9,73.4,,,,,,,,1.5,8.5,11.4,19.2,22.9,28.1,,,65.8,1.11,4.20,3.56,0.58,0.21,0.041,0.22,0.06,,,,0.59,63.6,13.6,3.3,3.7,7.5,1.4,0.0,
2019-07-11 Do. 07:00 ,2019-07-01345,52.7,74.6,61.0,0.0,11.3,32.5,125,155,0.1,1.5,8.3,11.0,18.1,21.9,27.4,0.3,0.6,64.5,1.01,4.20,3.57,0.51,0.22,0.026,0.22,0.06,,,,0.55,62.0,14.6,2.8,4.3,7.6,1.5,0.1,
2019-07-09 Di. 07:00 ,2019-07-01050,49.5,74.5,61.2,0.0,11.0,32.5,140,165,,1.4,8.2,11.0,18.5,22.2,27.3,0.3,0.8,64.7,1.01,4.13,3.41,0.56,0.22,0.030,0.21,0.06,,,,0.59,65.3,12.3,3.1,3.6,7.7,1.3,0.1,
2019-07-08 Mo. 08:00 ,2019-07-00901,47.7,72.6,61.8,0.0,11.0,32.5,130,155,1.0,1.5,8.2,11.4,19.8,24.9,33.6,0.3,0.8,64.3,0.97,4.20,3.50,0.54,0.21,0.030,0.22,0.07,,,,0.57,62.6,14.2,2.3,4.5,7.3,1.3,0.4,
2019-07-04 Do. 06:00 ,2019-07-00448,49.0,73.3,60.3,0.0,10.8,,,,,1.5,8.3,11.2,18.7,22.9,29.2,0.3,0.8,64.0,1.23,4.20,3.54,0.51,0.22,0.035,0.21,0.06,,,,0.56,64.3,13.3,2.1,4.6,7.1,0.8,0.0,
2019-07-02 Di. 07:00 ,2019-07-00183,49.3,72.3,61.6,0.0,10.1,32.5,150,180,,1.5,8.3,11.2,18.9,22.9,28.5,0.2,0.6,65.3,0.91,4.21,3.43,0.49,0.22,0.029,0.22,0.06,,,,0.54,62.6,14.4,1.9,4.7,7.5,1.3,0.2,
2019-07-01 Mo. 05:00 ,2019-07-00041,52.1,76.3,61.1,0.0,10.2,32.5,140,170,2.0,1.5,8.3,10.9,17.9,21.4,26.4,0.7,1.5,65.0,0.98,4.26,3.66,0.51,0.24,0.030,0.22,0.06,,,,0.58,62.6,13.8,1.8,4.8,7.0,1.2,0.6,
2019-06-27 Do. 06:00 ,2019-06-03064,49.9,72.2,61.9,0.0,10.9,,,,,1.4,8.1,11.0,18.7,23.3,30.1,0.3,0.7,65.1,1.00,4.21,3.70,0.52,0.22,0.033,0.21,0.06,,,,0.56,63.2,13.9,1.9,4.7,7.7,1.3,0.0,
2019-06-25 Di. 07:00 ,2019-06-02866,48.1,72.0,60.7,0.0,10.9,,,,,1.4,8.1,10.8,18.5,22.2,27.5,0.3,0.6,65.7,0.95,4.30,3.25,0.51,0.24,0.036,0.22,0.07,,,,0.58,64.0,13.9,2.1,4.8,7.8,1.0,0.0,
2019-06-24 Mo. 08:00 ,2019-06-02750,,,,,,,,,,1.5,8.7,12.7,22.0,29.0,44.6,,,65.0,0.96,4.17,3.60,0.49,0.22,0.035,0.22,0.06,,,,0.54,64.4,12.5,2.2,5.0,7.2,1.4,0.0,
