recorded-at, sample-id, comp. str. 2d, comp. str. 7d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-08-27 Di. 07:00 ,2019-08-03054,12.9,38.3,55.8,73.9,0.0,7.8,,,,,1.7,11.7,16.5,30.0,37.6,48.3,0.5,1.2,48.7,4.52,8.22,3.52,0.65,0.23,0.096,0.57,0.15,0.74,65.7,69.6,0.66,18.8,3.6,0.6,1.4,2.1,0.4,0.9,66.7
2019-08-26 Mo. 07:00 ,2019-08-02967,12.6,37.4,55.8,73.0,0.0,8.3,29.5,260,305,0.5,1.8,12.1,17.1,31.1,38.9,49.9,0.4,1.0,48.4,4.71,8.23,3.48,0.66,0.24,0.112,0.49,0.16,0.71,67.5,71.4,0.68,17.4,4.5,0.9,1.4,2.0,0.3,0.6,67.5
2019-08-22 Do. 07:00 ,2019-08-02558,11.9,36.3,55.5,72.1,0.0,8.2,29.5,245,295,,1.8,12.1,17.0,31.0,38.8,49.6,0.4,1.0,48.8,4.71,8.22,3.48,0.66,0.24,0.115,0.49,0.16,0.71,66.8,70.8,0.68,16.8,4.9,0.7,1.3,2.2,0.6,0.7,67.5
2019-08-20 Di. 09:00 ,2019-08-02297,12.3,35.6,55.8,71.8,0.0,8.3,,,,,1.7,11.8,16.7,30.1,37.7,48.6,0.4,0.9,50.0,4.68,8.30,3.36,0.60,0.25,0.060,0.55,0.15,0.79,64.4,68.1,0.65,19.2,3.5,0.8,1.5,2.3,0.4,0.4,66.2
2019-08-19 Mo. 06:00 ,2019-08-02146,13.3,38.3,57.0,72.0,0.0,8.3,29.5,225,275,1.0,1.7,11.8,16.6,30.1,37.9,49.1,0.5,1.2,48.7,4.32,7.83,3.42,0.61,0.23,0.078,0.51,0.15,0.68,64.3,68.0,0.63,18.6,4.0,0.7,1.6,2.3,0.5,1.9,64.7
2019-08-15 Do. 07:00 ,2019-08-01749,11.1,37.7,53.8,72.1,0.0,8.2,29.5,255,305,,1.8,12.2,17.2,31.5,39.5,51.1,0.5,1.1,48.6,4.74,8.16,3.27,0.66,0.24,0.108,0.49,0.16,0.69,67.3,71.0,0.67,17.7,4.9,0.8,1.5,2.2,0.7,0.5,66.6
2019-08-13 Di. 07:00 ,2019-08-01487,11.5,36.2,56.5,72.5,0.0,8.4,,,,,1.8,12.1,17.1,31.3,39.2,50.3,0.5,1.1,48.0,4.69,8.17,3.48,0.66,0.24,0.113,0.49,0.16,0.71,68.2,72.2,0.67,17.3,4.5,0.6,1.5,2.1,0.3,0.4,67.7
2019-08-12 Mo. 07:00 ,2019-08-01351,13.1,37.8,56.6,72.4,0.0,8.5,29.5,255,300,,1.8,12.2,17.2,31.3,39.3,50.6,0.5,1.1,48.5,4.90,8.46,3.04,0.66,0.26,0.095,0.51,0.17,0.79,68.7,72.3,0.70,17.0,3.8,0.8,1.3,2.3,0.3,0.4,69.5
2019-08-08 Do. 05:00 ,2019-08-00912,14.5,39.3,57.8,72.3,0.0,8.1,29.5,250,280,1.0,1.7,11.6,16.3,29.5,37.0,48.3,0.5,1.1,48.8,4.61,8.16,3.54,0.63,0.26,0.082,0.49,0.16,0.78,66.4,70.3,0.67,19.2,3.9,1.0,1.3,2.3,0.3,0.4,65.8
2019-08-06 Di. 07:00 ,2019-08-00625,13.5,40.5,57.8,72.7,0.1,8.4,,,,,1.7,11.4,16.1,29.4,37.0,48.5,0.5,1.0,48.6,4.65,8.16,3.59,0.66,0.25,0.107,0.49,0.16,0.79,67.0,71.0,0.69,17.7,4.3,0.8,1.4,2.1,0.5,0.6,66.8
